company,raw_label,normalized_label,office_url,source,discovered_at
HP Inc.,"Spring, TX",spring tx,"https://www.glassdoor.com/Location/All-HP-Inc-Spring-Office-Locations-EI_IE1093161.4,10_IL.11,17_IC1140222.htm",office-location,2026-06-28T06:52:59.483773+00:00
HP Inc.,"Sunnyvale, CA",sunnyvale ca,"https://www.glassdoor.com/Location/All-HP-Inc-Sunnyvale-Office-Locations-EI_IE1093161.4,10_IL.11,20_IC1147442.htm",office-location,2026-06-28T06:52:59.483773+00:00
HP Inc.,"Tlaquepaque, JAL",tlaquepaque jal,"https://www.glassdoor.com/Location/All-HP-Inc-Tlaquepaque-Office-Locations-EI_IE1093161.4,10_IL.11,22_IC3486348.htm",office-location,2026-06-28T06:52:59.483773+00:00
HP Inc.,"Vancouver, WA",vancouver wa,"https://www.glassdoor.com/Location/All-HP-Inc-Vancouver-Office-Locations-EI_IE1093161.4,10_IL.11,20_IC1150413.htm",office-location,2026-06-28T06:52:59.483773+00:00
HP Inc.,"Zapopan, JAL",zapopan jal,"https://www.glassdoor.com/Location/All-HP-Inc-Zapopan-Office-Locations-EI_IE1093161.4,10_IL.11,18_IC3487018.htm",office-location,2026-06-28T06:52:59.483773+00:00
HP Inc.,"Barcelona, CT",barcelona ct,"https://www.glassdoor.com/Location/All-HP-Inc-Barcelona-Office-Locations-EI_IE1093161.4,10_IL.11,20_IC2547194.htm",office-location,2026-06-28T06:52:59.483773+00:00
HP Inc.,"Boulogne-Billancourt, A8",boulogne billancourt a8,"https://www.glassdoor.com/Location/All-HP-Inc-Boulogne-Billancourt-Office-Locations-EI_IE1093161.4,10_IL.11,31_IC3040032.htm",office-location,2026-06-28T06:52:59.483773+00:00
HP Inc.,"Bucharest, B",bucharest b,"https://www.glassdoor.com/Location/All-HP-Inc-Bucharest-Office-Locations-EI_IE1093161.4,10_IL.11,20_IC3184907.htm",office-location,2026-06-28T06:52:59.483773+00:00
HP Inc.,"Cambridge, ENG",cambridge eng,"https://www.glassdoor.com/Location/All-HP-Inc-Cambridge-Office-Locations-EI_IE1093161.4,10_IL.11,20_IC2662516.htm",office-location,2026-06-28T06:52:59.483773+00:00
HP Inc.,"Meudon, A8",meudon a8,"https://www.glassdoor.com/Location/All-HP-Inc-Meudon-Office-Locations-EI_IE1093161.4,10_IL.11,17_IC3019026.htm",office-location,2026-06-28T06:52:59.483773+00:00
HP Inc.,"Paris, A8",paris a8,"https://www.glassdoor.com/Location/All-HP-Inc-Paris-Office-Locations-EI_IE1093161.4,10_IL.11,16_IC2881970.htm",office-location,2026-06-28T06:52:59.483773+00:00
HP Inc.,"Sant Cugat del Vallès, CT",sant cugat del vall s ct,"https://www.glassdoor.com/Location/All-HP-Inc-Sant-Cugat-del-Vallès-Office-Locations-EI_IE1093161.4,10_IL.11,32_IC4843928.htm",office-location,2026-06-28T06:52:59.483773+00:00
HP Inc.,"Bengaluru, KA",bengaluru ka,"https://www.glassdoor.com/Location/All-HP-Inc-Bengaluru-Office-Locations-EI_IE1093161.4,10_IL.11,20_IC2940587.htm",office-location,2026-06-28T06:52:59.483773+00:00
HP Inc.,Singapore,singapore,"https://www.glassdoor.com/Location/All-HP-Inc-Singapore-Office-Locations-EI_IE1093161.4,10_IL.11,20_IC3235921.htm",office-location,2026-06-28T06:52:59.483773+00:00
HP Inc.,"Taipei, TPQ",taipei tpq,"https://www.glassdoor.com/Location/All-HP-Inc-Taipei-Office-Locations-EI_IE1093161.4,10_IL.11,17_IC3271041.htm",office-location,2026-06-28T06:52:59.483773+00:00
HP Inc.,"Tuas, W",tuas w,"https://www.glassdoor.com/Location/All-HP-Inc-Tuas-Office-Locations-EI_IE1093161.4,10_IL.11,15_IC3235538.htm",office-location,2026-06-28T06:52:59.483773+00:00
HP Inc.,"Whitefield, KA",whitefield ka,"https://www.glassdoor.com/Location/All-HP-Inc-Whitefield-Office-Locations-EI_IE1093161.4,10_IL.11,21_IC2941717.htm",office-location,2026-06-28T06:52:59.483773+00:00
